Class,Sentence 1,Sentence 2,Similarity Score,Negation Count S1,Negation Count S2,Variation Type
Class 4,Cryptanalysis attempts to break encryption schemes.,A recursive function repeatedly calls itself in problem-solving.,24.90681939,0,0,Original
Class 4,Cryptanalysis attempts to break do not encryption schemes.,A recursive do not function repeatedly calls itself in problem-solving.,22.91,2,2,Even negations - cancel
Class 4,Cryptanalysis attempts to not break encryption schemes.,A recursive function repeatedly do not calls itself in problem-solving.,16.19,1,2,Odd negations - no cancel
Class 4,Cryptanalysis attempts to break not encryption schemes.,A recursive do not function repeatedly calls do not itself in problem-solving.,16.19,1,4,Odd negations - no cancel
Class 4,Cryptanalysis attempts to break encryption schemes.,A recursive function do not repeatedly calls itself in problem-solving.,22.91,0,2,Multiple negations S2
Class 4,Cryptanalysis attempts to break do not encryption schemes.,A recursive function repeatedly not calls itself in problem-solving.,16.19,2,1,Odd negations - no cancel
Class 1,IoT devices communicate using wireless networks.,Wireless communication enables connectivity among IoT devices.,95.31759987,0,0,Original
Class 1,IoT devices communicate using not wireless networks.,Wireless communication enables connectivity among IoT devices.,47.66,1,0,Single negation S1
Class 1,IoT devices communicate using wireless networks.,Wireless communication does not enabl connectivity among IoT devices.,81.02,0,2,Single negation S2
Class 1,IoT devices communicate not using wireless networks.,Wireless communication does not enabl connectivity among IoT devices.,47.66,1,2,Even negations - cancel
Class 1,IoT devices not communicate using do not wireless networks.,Wireless communication does not enabl connectivity not among IoT devices.,81.02,3,3,Even negations - cancel
Class 1,IoT devices communicate using do not wireless networks.,Wireless communication does not enabl connectivity not among IoT devices.,47.66,2,3,Even negations - cancel
Class 1,IoT devices not communicate using not wireless networks.,Wireless communication does not enabl connectivity among IoT devices.,81.02,2,2,Even negations - cancel
Class 1,IoT devices do not communicate using do not wireless networks.,Wireless communication does not enabl connectivity among IoT devices.,81.02,4,2,Odd negations - no cancel
Class 1,IoT devices do not communicate using wireless networks.,Wireless communication does not enabl connectivity not among IoT devices.,47.66,2,3,Odd negations - no cancel
Class 1,IoT devices communicate using do not wireless networks.,Wireless communication does not enabl connectivity among not IoT devices.,47.66,2,3,Odd negations - no cancel
Class 1,IoT devices not communicate using not wireless networks.,Wireless communication does not enabl connectivity among do not IoT devices.,81.02,2,4,Odd negations - no cancel
Class 1,IoT devices communicate not using wireless networks.,Wireless communication enables connectivity among IoT devices.,47.66,1,0,Odd negations - no cancel
Class 1,IoT devices communicate using do not wireless networks.,Wireless communication enables connectivity among IoT devices.,81.02,2,0,Multiple negations S1
Class 1,IoT devices communicate using wireless networks.,Wireless communication does not enabl connectivity among do not IoT devices.,81.02,0,4,Multiple negations S2
Class 1,IoT devices do not communicate using not wireless networks.,Wireless communication enables connectivity among IoT devices.,47.66,3,0,Multiple negations S1
Class 1,A smart home system automates household appliances.,Home automation allows remote control of electrical devices.,96.51389926,0,0,Original
Class 1,A smart home system do not automates household appliances.,Home automation allows remote control of electrical devices.,88.79,2,0,Single negation S1
Class 1,A smart home system automates household appliances.,Home automation does not allow remote control of electrical devices.,88.79,0,2,Single negation S2
Class 1,A smart home system automates not household appliances.,Home automation does not allow remote control of electrical devices.,62.73,1,2,Even negations - cancel
Class 1,A smart home system do not automates household appliances.,Home automation does not allow remote not control of electrical devices.,62.73,2,3,Even negations - cancel
Class 1,A smart home not system automates household appliances.,Home automation does not allow remote control of do not electrical devices.,62.73,1,4,Even negations - cancel
Class 1,A smart do not home system automates not household appliances.,Home automation does not allow remote control of electrical devices.,62.73,3,2,Even negations - cancel
Class 1,A smart home system not automates household appliances.,Home automation does not allow remote control of electrical devices.,62.73,1,2,Odd negations - no cancel
Class 1,A smart home system do not automates household appliances.,Home automation does not allow remote control of do not electrical devices.,88.79,2,4,Odd negations - no cancel
Class 1,A smart do not home system not automates household appliances.,Home automation does not allow remote not control of electrical devices.,88.79,3,3,Odd negations - no cancel
Class 1,A smart do not home system automates household appliances.,Home automation allows remote control of electrical devices.,88.79,2,0,Odd negations - no cancel
Class 1,A smart home not system automates do not household appliances.,Home automation allows remote control of electrical devices.,62.73,3,0,Multiple negations S1
Class 1,A smart home system automates household appliances.,Home automation does not allow remote control of do not electrical devices.,88.79,0,4,Multiple negations S2
Class 1,A smart not home system do not automates household appliances.,Home automation allows remote control of electrical devices.,62.73,3,0,Multiple negations S1
Class 1,A smart home system automates household appliances.,Home automation does not allow remote control of not electrical devices.,62.73,0,3,Multiple negations S2
Class 1,IoT sensors collect real-time environmental data.,Real-time data acquisition is enabled by IoT sensors.,91.20413062,0,0,Original
Class 1,IoT sensors collect not real-time environmental data.,Real-time data acquisition is enabled by IoT sensors.,45.6,1,0,Single negation S1
Class 1,IoT sensors collect real-time environmental data.,Real-time data acquisition isn't enabled by IoT sensors.,45.6,0,1,Single negation S2
Class 1,IoT sensors collect not real-time environmental data.,Real-time data acquisition isn't enabled by IoT sensors.,77.52,1,1,Even negations - cancel
Class 1,IoT sensors collect real-time do not environmental data.,Real-time data acquisition isn't enabled by do not IoT sensors.,45.6,2,3,Even negations - cancel
Class 1,IoT sensors collect do not real-time environmental data.,Real-time data acquisition isn't enabled by not IoT sensors.,77.52,2,2,Even negations - cancel
Class 1,IoT sensors collect real-time do not environmental data.,Real-time data acquisition isn't enabled by IoT sensors.,45.6,2,1,Even negations - cancel
Class 1,IoT sensors collect real-time not environmental data.,Real-time data acquisition isn't enabled by not IoT sensors.,45.6,1,2,Odd negations - no cancel
Class 1,IoT sensors collect real-time do not environmental data.,Real-time data acquisition isn't enabled by not IoT sensors.,77.52,2,2,Odd negations - no cancel
Class 1,IoT sensors collect not real-time environmental data.,Real-time data acquisition isn't enabled by do not IoT sensors.,77.52,1,3,Odd negations - no cancel
Class 1,IoT sensors collect real-time not environmental data.,Real-time data acquisition is enabled by IoT sensors.,45.6,1,0,Odd negations - no cancel
Class 1,IoT sensors collect real-time environmental data.,Real-time data acquisition isn't enabled by not IoT sensors.,77.52,0,2,Multiple negations S2
Class 1,IoT sensors not collect real-time environmental data.,Real-time data acquisition is enabled by IoT sensors.,45.6,1,0,Multiple negations S1
Class 1,IoT sensors collect real-time environmental data.,Real-time data acquisition isn't enabled by do not IoT sensors.,45.6,0,3,Multiple negations S2
Class 1,MQTT protocol facilitates lightweight IoT messaging.,The MQTT protocol enables efficient message exchange in IoT.,85.25575532,0,0,Original
Class 1,MQTT protocol do not facilitates lightweight IoT messaging.,The MQTT protocol enables efficient message exchange in IoT.,78.44,2,0,Single negation S1
Class 1,MQTT protocol facilitates lightweight IoT messaging.,The MQTT protocol does not enabl efficient message exchange in IoT.,78.44,0,2,Single negation S2
Class 1,MQTT protocol facilitates do not lightweight IoT messaging.,The MQTT protocol does not enabl efficient message exchange in IoT.,78.44,2,2,Even negations - cancel
Class 1,MQTT protocol facilitates lightweight not IoT messaging.,The MQTT protocol does not enabl efficient not message exchange in IoT.,78.44,1,3,Even negations - cancel
Class 1,MQTT protocol facilitates do not lightweight IoT messaging.,The MQTT protocol does not enabl efficient message do not exchange in IoT.,78.44,2,4,Even negations - cancel
Class 1,MQTT protocol not facilitates lightweight do not IoT messaging.,The MQTT protocol does not enabl efficient message exchange in IoT.,55.42,3,2,Even negations - cancel
Class 1,MQTT protocol facilitates lightweight do not IoT messaging.,The MQTT protocol does not enabl efficient message exchange in IoT.,78.44,2,2,Odd negations - no cancel
Class 1,MQTT protocol facilitates lightweight not IoT messaging.,The MQTT protocol does not enabl efficient do not message exchange in IoT.,55.42,1,4,Odd negations - no cancel
Class 1,MQTT protocol facilitates not lightweight IoT messaging.,The MQTT protocol does not enabl efficient message do not exchange in IoT.,55.42,1,4,Odd negations - no cancel
Class 1,MQTT protocol facilitates lightweight do not IoT messaging.,The MQTT protocol enables efficient message exchange in IoT.,78.44,2,0,Odd negations - no cancel
Class 1,MQTT protocol facilitates lightweight not IoT messaging.,The MQTT protocol enables efficient message exchange in IoT.,55.42,1,0,Multiple negations S1
Class 1,MQTT protocol facilitates lightweight IoT messaging.,The MQTT protocol does not enabl efficient message do not exchange in IoT.,78.44,0,4,Multiple negations S2
Class 1,Edge computing processes IoT data closer to the source.,IoT edge computing reduces latency by processing data locally.,88.04144434,0,0,Original
Class 1,Edge computing does not process IoT data closer to the source.,IoT edge computing reduces latency by processing data locally.,81.0,2,0,Single negation S1
Class 1,Edge computing processes IoT data closer to the source.,IoT edge computing reduces latency by not processing data locally.,57.23,0,1,Single negation S2
Class 1,Edge computing does not process IoT data closer to the source.,IoT edge computing reduces latency by processing not data locally.,57.23,2,1,Even negations - cancel
Class 1,Edge computing does not process IoT do not data closer to the source.,IoT edge not computing reduces latency by do not processing data locally.,57.23,4,3,Even negations - cancel
Class 1,Edge computing does not process IoT data closer to the source.,IoT edge not computing reduces latency by do not processing data locally.,57.23,2,3,Even negations - cancel
Class 1,Edge computing does not process IoT data not closer to the source.,IoT edge computing not reduces latency by processing data locally.,81.0,3,1,Even negations - cancel
Class 1,Edge computing does not process IoT do not data closer to the source.,IoT edge computing reduces latency not by processing data locally.,57.23,4,1,Odd negations - no cancel
Class 1,Edge computing does not process IoT data closer to the source.,IoT edge not computing reduces not latency by processing data locally.,81.0,2,2,Odd negations - no cancel
Class 1,Edge computing does not process IoT data not closer to the source.,IoT edge computing reduces not latency by processing do not data locally.,81.0,3,3,Odd negations - no cancel
Class 1,Edge computing does not process IoT not data closer to the source.,IoT edge not computing reduces latency not by processing do not data locally.,57.23,3,4,Odd negations - no cancel
Class 1,Edge computing processes IoT data closer to the source.,IoT edge computing reduces latency by processing do not data locally.,81.0,0,2,Odd negations - no cancel
Class 1,Edge computing does not process IoT do not data closer to the source.,IoT edge computing reduces latency by processing data locally.,81.0,4,0,Multiple negations S1
Class 1,Edge computing processes IoT data closer to the source.,IoT edge computing do not reduces latency by not processing data locally.,57.23,0,3,Multiple negations S2
Class 1,Edge computing does not process IoT data do not closer to the source.,IoT edge computing reduces latency by processing data locally.,81.0,4,0,Multiple negations S1
Class 1,Edge computing processes IoT data closer to the source.,IoT edge computing not reduces latency by not processing do not data locally.,81.0,0,4,Multiple negations S2
Class 1,Smart agriculture uses IoT to monitor crops.,IoT-powered farming improves agricultural efficiency.,95.16015619,0,0,Original
Class 1,Smart agriculture uses IoT to do not monitor crops.,IoT-powered farming improves agricultural efficiency.,80.89,2,0,Single negation S1
Class 1,Smart agriculture uses IoT to monitor crops.,IoT-powered farming does not improv agricultural efficiency.,80.89,0,2,Single negation S2
Class 1,Smart agriculture uses IoT to not monitor crops.,IoT-powered farming does not improv agricultural efficiency.,47.58,1,2,Even negations - cancel
Class 1,Smart agriculture do not uses IoT to do not monitor crops.,IoT-powered farming does not improv agricultural efficiency.,80.89,4,2,Even negations - cancel
Class 1,Smart agriculture uses do not IoT to monitor crops.,IoT-powered farming does not improv agricultural efficiency.,80.89,2,2,Even negations - cancel
Class 1,Smart agriculture uses IoT to do not monitor crops.,IoT-powered farming does not improv agricultural efficiency.,80.89,2,2,Even negations - cancel
Class 1,Smart agriculture uses do not IoT to not monitor crops.,IoT-powered farming does not improv agricultural efficiency.,47.58,3,2,Odd negations - no cancel
Class 1,Smart agriculture do not uses IoT to monitor crops.,IoT-powered farming does not improv agricultural efficiency.,80.89,2,2,Odd negations - no cancel
Class 1,Smart agriculture uses do not IoT to do not monitor crops.,IoT-powered farming does not improv agricultural efficiency.,80.89,4,2,Odd negations - no cancel
Class 1,Smart agriculture uses not IoT to monitor crops.,IoT-powered farming improves agricultural efficiency.,47.58,1,0,Odd negations - no cancel
Class 1,Smart agriculture not uses IoT to do not monitor crops.,IoT-powered farming improves agricultural efficiency.,47.58,3,0,Multiple negations S1
Class 1,IoT-enabled wearables track user health metrics.,Wearable IoT devices monitor fitness and health parameters.,90.01324815,0,0,Original
Class 1,IoT-enabled wearables not track user health metrics.,Wearable IoT devices monitor fitness and health parameters.,45.01,1,0,Single negation S1
Class 1,IoT-enabled wearables track user health metrics.,Wearable IoT devices monitor fitness not and health parameters.,45.01,0,1,Single negation S2
Class 1,IoT-enabled wearables track user not health metrics.,Wearable IoT devices not monitor fitness and health parameters.,76.51,1,1,Even negations - cancel
Class 1,IoT-enabled wearables track user do not health metrics.,Wearable IoT devices not monitor fitness and do not health parameters.,45.01,2,3,Even negations - cancel
Class 1,IoT-enabled wearables track do not user health metrics.,Wearable IoT not devices monitor fitness not and health parameters.,76.51,2,2,Even negations - cancel
Class 1,IoT-enabled wearables track user do not health metrics.,Wearable IoT devices monitor fitness and do not health parameters.,76.51,2,2,Even negations - cancel
Class 1,IoT-enabled wearables track not user health metrics.,Wearable IoT devices monitor do not fitness and health parameters.,45.01,1,2,Odd negations - no cancel
Class 1,IoT-enabled wearables track not user health metrics.,Wearable IoT devices monitor not fitness and not health parameters.,45.01,1,2,Odd negations - no cancel
Class 1,IoT-enabled wearables track user not health metrics.,Wearable IoT do not devices monitor fitness do not and health parameters.,45.01,1,4,Odd negations - no cancel
Class 1,IoT-enabled wearables track do not user health metrics.,Wearable IoT do not devices monitor fitness and not health parameters.,45.01,2,3,Odd negations - no cancel
Class 1,IoT-enabled wearables do not track user health metrics.,Wearable IoT devices monitor fitness and health parameters.,76.51,2,0,Odd negations - no cancel
Class 1,IoT-enabled wearables track user health metrics.,Wearable IoT do not devices monitor fitness and health parameters.,76.51,0,2,Odd negations - no cancel
Class 1,IoT-enabled wearables track not user health metrics.,Wearable IoT devices monitor fitness and health parameters.,45.01,1,0,Multiple negations S1
Class 1,IoT-enabled wearables track user health metrics.,Wearable IoT devices not monitor fitness and not health parameters.,76.51,0,2,Multiple negations S2
Class 1,IoT-enabled wearables track user not health metrics.,Wearable IoT devices monitor fitness and health parameters.,45.01,1,0,Multiple negations S1
Class 1,IoT-enabled wearables track user health metrics.,Wearable IoT not devices monitor fitness not and health parameters.,76.51,0,2,Multiple negations S2
Class 1,Industrial IoT enhances automation in manufacturing.,IoT in industry optimizes production processes and efficiency.,96.69769644,0,0,Original
Class 1,Industrial IoT does not enhanc automation in manufacturing.,IoT in industry optimizes production processes and efficiency.,82.19,2,0,Single negation S1
Class 1,Industrial IoT enhances automation in manufacturing.,IoT in industry does not optimiz production processes and efficiency.,82.19,0,2,Single negation S2
Class 1,Industrial IoT does not enhanc automation in manufacturing.,IoT in industry does not optimiz production processes and efficiency.,82.19,2,2,Even negations - cancel
Class 1,Industrial IoT does not enhanc automation in manufacturing.,IoT in industry does not optimiz production does not process and efficiency.,82.19,2,4,Even negations - cancel
Class 1,Industrial IoT enhances automation in manufacturing.,IoT in industry does not optimiz production does not process and efficiency.,82.19,0,4,Multiple negations S2
Class 1,IoT security ensures safe data transmission.,Securing IoT networks prevents unauthorized access to devices.,97.08021134,0,0,Original
Class 1,IoT security does not ensur safe data transmission.,Securing IoT networks prevents unauthorized access to devices.,82.52,2,0,Single negation S1
Class 1,IoT security ensures safe data transmission.,Securing IoT networks does not prevent unauthorized access to devices.,82.52,0,2,Single negation S2
Class 1,IoT security does not ensur safe data transmission.,Securing IoT networks does not prevent unauthorized access to devices.,82.52,2,2,Even negations - cancel
Class 1,IoT security does not ensur safe not data transmission.,Securing IoT networks does not prevent unauthorized do not access to devices.,48.54,3,4,Even negations - cancel
Class 1,IoT security does not ensur safe data transmission.,Securing IoT networks does not prevent unauthorized do not access to devices.,82.52,2,4,Even negations - cancel
Class 1,IoT security does not ensur safe do not data transmission.,Securing IoT networks does not prevent unauthorized access to devices.,82.52,4,2,Odd negations - no cancel
Class 1,IoT security does not ensur safe do not data transmission.,Securing IoT networks does not prevent unauthorized not access to devices.,48.54,4,3,Odd negations - no cancel
Class 1,IoT security does not ensur safe do not data transmission.,Securing IoT networks prevents unauthorized access to devices.,82.52,4,0,Multiple negations S1
Class 1,IoT security ensures safe data transmission.,Securing IoT networks does not prevent unauthorized not access to devices.,48.54,0,3,Multiple negations S2
Class 1,IoT security does not ensur safe not data transmission.,Securing IoT networks prevents unauthorized access to devices.,48.54,3,0,Multiple negations S1
Class 1,RFID technology enables automatic identification of objects.,IoT-based RFID systems track items efficiently.,99.90896109,0,0,Original
Class 1,RFID technology does not enabl automatic identification of objects.,IoT-based RFID systems track items efficiently.,91.92,2,0,Single negation S1
Class 1,RFID technology enables automatic identification of objects.,IoT-based RFID do not systems track items efficiently.,91.92,0,2,Single negation S2
Class 1,RFID technology does not enabl automatic identification of objects.,IoT-based RFID systems do not track items efficiently.,91.92,2,2,Even negations - cancel
Class 1,RFID technology does not enabl automatic do not identification of objects.,IoT-based RFID systems track do not items efficiently.,91.92,4,2,Even negations - cancel
Class 1,RFID technology does not enabl automatic not identification of objects.,IoT-based RFID systems do not track items efficiently.,64.94,3,2,Even negations - cancel
Class 1,RFID technology does not enabl automatic not identification of objects.,IoT-based RFID systems not track items efficiently.,91.92,3,1,Odd negations - no cancel
Class 1,RFID technology does not enabl automatic do not identification of objects.,IoT-based RFID systems track not items efficiently.,64.94,4,1,Odd negations - no cancel
Class 1,RFID technology does not enabl automatic do not identification of objects.,IoT-based RFID not systems track not items efficiently.,91.92,4,2,Odd negations - no cancel
Class 1,RFID technology enables automatic identification of objects.,IoT-based RFID not systems track items efficiently.,64.94,0,1,Odd negations - no cancel
Class 1,RFID technology enables automatic identification of objects.,IoT-based RFID not systems track do not items efficiently.,64.94,0,3,Multiple negations S2
Class 1,RFID technology enables automatic identification of objects.,IoT-based RFID do not systems track not items efficiently.,64.94,0,3,Multiple negations S2
Class 2,A smart thermostat adjusts temperature automatically.,IoT thermostats optimize room temperature settings.,81.84439207,0,0,Original
Class 2,A smart thermostat adjusts temperature automatically.,IoT thermostats optimize not room temperature settings.,53.2,0,1,Multiple negations S2
Class 2,A smart not thermostat adjusts not temperature automatically.,IoT thermostats optimize room temperature settings.,75.3,2,0,Multiple negations S1
Class 2,A smart not thermostat adjusts temperature automatically.,IoT thermostats optimize do not room temperature settings.,53.2,1,2,Odd negations - no cancel
Class 2,A smart thermostat adjusts not temperature automatically.,IoT thermostats optimize not room temperature settings.,75.3,1,1,Even negations - cancel
Class 2,A smart thermostat do not adjusts temperature automatically.,IoT thermostats do not optimize room not temperature settings.,53.2,2,3,Odd negations - no cancel
Class 2,A smart thermostat do not adjusts temperature automatically.,IoT thermostats not optimize room do not temperature settings.,53.2,2,3,Even negations - cancel
Class 2,A smart thermostat adjusts do not temperature automatically.,IoT thermostats optimize room temperature settings.,75.3,2,0,Odd negations - no cancel
Class 2,A smart thermostat adjusts do not temperature automatically.,IoT thermostats optimize room do not temperature settings.,75.3,2,2,Odd negations - no cancel
Class 2,IoT networks rely on cloud-based data storage.,Cloud computing enables scalable IoT data management.,84.03093413,0,0,Original
Class 2,IoT networks rely on do not cloud-based data storage.,Cloud computing does not enabl scalable IoT data management.,71.43,2,2,Odd negations - no cancel
Class 2,IoT networks rely on cloud-based data storage.,Cloud computing does not enabl scalable not IoT data management.,42.02,0,3,Multiple negations S2
Class 2,IoT networks rely on do not cloud-based data storage.,Cloud computing enables scalable IoT data management.,71.43,2,0,Multiple negations S1
Class 2,IoT networks rely on cloud-based data storage.,Cloud computing does not enabl scalable IoT data management.,71.43,0,2,Odd negations - no cancel
Class 2,IoT networks do not rely on cloud-based data storage.,Cloud computing enables scalable IoT data management.,71.43,2,0,Single negation S1
Class 2,IoT networks not rely on cloud-based data storage.,Cloud computing does not enabl scalable IoT do not data management.,42.02,1,4,Odd negations - no cancel
Class 2,IoT networks do not rely on cloud-based not data storage.,Cloud computing does not enabl scalable not IoT data management.,71.43,3,3,Odd negations - no cancel
Class 2,IoT networks rely on not cloud-based data storage.,Cloud computing does not enabl scalable not IoT data management.,71.43,1,3,Odd negations - no cancel
Class 2,Low-power IoT devices enhance battery efficiency.,Energy-efficient IoT hardware extends device lifespan.,82.33297391,0,0,Original
Class 2,Low-power IoT devices enhance battery efficiency.,Energy-efficient IoT hardware extends not device lifespan.,53.52,0,1,Multiple negations S2
Class 2,Low-power IoT devices do not enhance battery efficiency.,Energy-efficient IoT do not hardware extends device lifespan.,75.75,2,2,Even negations - cancel
Class 2,Low-power IoT devices do not enhance battery efficiency.,Energy-efficient IoT hardware extends do not device lifespan.,75.75,2,2,Even negations - cancel
Class 2,Low-power IoT devices enhance battery efficiency.,Energy-efficient IoT hardware do not extends device lifespan.,75.75,0,2,Single negation S2
Class 2,Low-power IoT devices enhance do not battery efficiency.,Energy-efficient IoT not hardware extends not device lifespan.,75.75,2,2,Even negations - cancel
Class 2,Low-power IoT devices enhance not battery efficiency.,Energy-efficient IoT hardware extends do not device lifespan.,53.52,1,2,Odd negations - no cancel
Class 2,IoT sensors in vehicles improve traffic management.,Connected vehicles use IoT for real-time traffic monitoring.,75.74202816,0,0,Original
Class 2,IoT sensors in vehicles improve traffic management.,Connected vehicles use IoT for not real-time traffic monitoring.,37.87,0,1,Single negation S2
Class 2,IoT sensors in vehicles not improve traffic management.,Connected vehicles not use IoT for do not real-time traffic monitoring.,64.38,1,3,Even negations - cancel
Class 2,IoT sensors in not vehicles improve traffic management.,Connected vehicles use IoT for real-time traffic monitoring.,37.87,1,0,Odd negations - no cancel
Class 2,IoT sensors in vehicles not improve traffic management.,Connected vehicles do not use IoT for real-time traffic monitoring.,37.87,1,2,Even negations - cancel
Class 2,IoT sensors in vehicles improve traffic management.,Connected vehicles not use IoT for real-time traffic monitoring.,37.87,0,1,Odd negations - no cancel
Class 2,IoT sensors in not vehicles improve not traffic management.,Connected vehicles use IoT for real-time traffic monitoring.,64.38,2,0,Multiple negations S1
Class 2,IoT sensors in vehicles do not improve traffic management.,Connected vehicles use not IoT for real-time traffic monitoring.,37.87,2,1,Odd negations - no cancel
Class 2,IoT sensors in vehicles improve not traffic management.,Connected vehicles use IoT for real-time traffic monitoring.,37.87,1,0,Multiple negations S1
Class 2,IoT protocols standardize device communication.,Communication protocols in IoT ensure interoperability.,83.13773586,0,0,Original
Class 2,IoT protocols not standardize device communication.,Communication protocols in IoT not ensure interoperability.,70.67,1,1,Even negations - cancel
Class 2,IoT protocols standardize not device communication.,Communication protocols in not IoT ensure interoperability.,70.67,1,1,Odd negations - no cancel
Class 2,IoT protocols not standardize device communication.,Communication protocols in IoT ensure interoperability.,41.57,1,0,Multiple negations S1
Class 2,IoT protocols standardize device communication.,Communication protocols in IoT not ensure interoperability.,41.57,0,1,Single negation S2
Class 2,IoT protocols standardize device communication.,Communication protocols in do not IoT ensure interoperability.,70.67,0,2,Multiple negations S2
Class 2,IoT protocols do not standardize device communication.,Communication protocols in not IoT ensure interoperability.,41.57,2,1,Even negations - cancel
Class 2,LPWAN supports long-range IoT communication.,Low-power wide-area networks enable IoT connectivity over vast distances.,75.43856728,0,0,Original
Class 2,LPWAN supports long-range IoT communication.,Low-power wide-area networks do not enable IoT connectivity over vast distances.,64.12,0,2,Single negation S2
Class 2,LPWAN supports do not long-range IoT communication.,Low-power wide-area networks enable IoT connectivity over vast distances.,64.12,2,0,Multiple negations S1
Class 2,LPWAN supports long-range IoT communication.,Low-power wide-area networks do not enable IoT connectivity do not over vast distances.,64.12,0,4,Multiple negations S2
Class 2,LPWAN supports long-range IoT communication.,Low-power wide-area networks enable IoT do not connectivity over vast distances.,64.12,0,2,Odd negations - no cancel
Class 2,LPWAN supports long-range not IoT communication.,Low-power wide-area not networks enable IoT not connectivity over vast distances.,37.72,1,2,Odd negations - no cancel
Class 2,LPWAN supports long-range do not IoT communication.,Low-power wide-area do not networks enable IoT connectivity do not over vast distances.,64.12,2,4,Odd negations - no cancel
Class 2,LPWAN supports long-range do not IoT communication.,Low-power wide-area not networks enable IoT not connectivity over not vast distances.,37.72,2,3,Even negations - cancel
Class 2,IoT gateways bridge devices and cloud systems.,An IoT gateway manages data exchange between devices and servers.,84.43795406,0,0,Original
Class 2,IoT gateways do not bridge devices and cloud systems.,An IoT gateway does not manag data do not exchange between devices and servers.,71.77,2,4,Even negations - cancel
Class 2,IoT gateways bridge devices and do not cloud systems.,An IoT gateway manages data exchange between devices and servers.,71.77,2,0,Single negation S1
Class 2,IoT gateways bridge not devices and do not cloud systems.,An IoT gateway does not manag data exchange between devices and servers.,42.22,3,2,Even negations - cancel
Class 2,IoT gateways not bridge devices and not cloud systems.,An IoT gateway manages data exchange between devices and servers.,71.77,2,0,Multiple negations S1
Class 2,IoT gateways bridge devices and cloud systems.,An IoT gateway does not manag data exchange between devices and servers.,71.77,0,2,Odd negations - no cancel
Class 2,IoT gateways bridge not devices and not cloud systems.,An IoT gateway does not manag data exchange between devices not and servers.,42.22,2,3,Odd negations - no cancel
Class 2,IoT gateways bridge devices and cloud systems.,An IoT gateway does not manag data do not exchange between devices and servers.,71.77,0,4,Multiple negations S2
Class 2,IoT-based automation reduces manual intervention.,Automated IoT solutions minimize human involvement in processes.,75.52457768,0,0,Original
Class 2,IoT-based automation not reduces manual intervention.,Automated IoT solutions minimize human involvement in does not process.,49.09,1,2,Odd negations - no cancel
Class 2,IoT-based automation reduces manual intervention.,Automated IoT solutions minimize human involvement in does not process.,69.48,0,2,Single negation S2
Class 2,IoT-based automation reduces not manual intervention.,Automated IoT solutions minimize human involvement in does not process.,49.09,1,2,Even negations - cancel
Class 2,IoT-based automation do not reduces manual intervention.,Automated IoT not solutions minimize human involvement in does not process.,49.09,2,3,Even negations - cancel
Class 2,IoT-based automation reduces not manual intervention.,Automated IoT solutions not minimize human involvement in does not process.,69.48,1,3,Odd negations - no cancel
Class 2,IoT-based automation not reduces manual intervention.,Automated IoT solutions minimize human involvement in processes.,49.09,1,0,Multiple negations S1
Class 2,IoT-based automation reduces do not manual intervention.,Automated IoT solutions minimize human involvement in processes.,69.48,2,0,Odd negations - no cancel
Class 2,IoT-based automation not reduces manual intervention.,Automated IoT solutions minimize not human involvement in does not process.,69.48,1,3,Even negations - cancel
Class 2,Smart cities integrate IoT for efficient urban planning.,IoT in smart cities improves infrastructure and public services.,82.74209893,0,0,Original
Class 2,Smart cities integrate not IoT for efficient do not urban planning.,IoT in smart cities does not improv infrastructure and public services.,41.37,3,2,Odd negations - no cancel
Class 2,Smart cities integrate IoT for efficient urban planning.,IoT in smart cities does not improv infrastructure and public services.,70.33,0,2,Single negation S2
Class 2,Smart cities integrate IoT for do not efficient urban planning.,IoT in smart cities does not improv infrastructure and public services.,70.33,2,2,Even negations - cancel
Class 2,Smart cities integrate IoT for efficient urban planning.,IoT in smart cities does not improv infrastructure and do not public services.,70.33,0,4,Multiple negations S2
Class 2,Smart cities not integrate IoT for do not efficient not urban planning.,IoT in smart cities improves infrastructure and public services.,70.33,4,0,Multiple negations S1
Class 2,Smart cities not integrate IoT for efficient not urban planning.,IoT in smart cities improves infrastructure and public services.,70.33,2,0,Multiple negations S1
Class 2,Smart cities integrate not IoT for efficient do not urban planning.,IoT in smart cities does not improv infrastructure and not public services.,70.33,3,3,Even negations - cancel
Class 2,Smart cities integrate IoT for efficient urban planning.,IoT in smart cities does not improv infrastructure and not public services.,41.37,0,3,Multiple negations S2
Class 2,IoT-enabled surveillance systems enhance security.,Connected security cameras use IoT for real-time monitoring.,80.3679417,0,0,Original
Class 2,IoT-enabled surveillance systems do not enhance security.,Connected security cameras use not IoT for not real-time monitoring.,68.31,2,2,Odd negations - no cancel
Class 2,IoT-enabled surveillance do not systems enhance security.,Connected security cameras do not use IoT for not real-time monitoring.,40.18,2,3,Odd negations - no cancel
Class 2,IoT-enabled surveillance not systems enhance security.,Connected security cameras use IoT for real-time monitoring.,40.18,1,0,Multiple negations S1
Class 2,IoT-enabled surveillance systems enhance security.,Connected security do not cameras use IoT for real-time monitoring.,68.31,0,2,Single negation S2
Class 2,IoT-enabled surveillance systems not enhance security.,Connected security do not cameras use IoT for real-time monitoring.,40.18,1,2,Even negations - cancel
Class 2,IoT-enabled surveillance systems enhance security.,Connected security cameras use do not IoT for do not real-time monitoring.,68.31,0,4,Multiple negations S2
